City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,diffa,13.3154,12.6113,308.28,24,63,1.65,NE,1728840413
262,uturoa,-16.7333,-151.4333,297.96,72,22,8.31,PF,1728840414
263,banda aceh,5.5577,95.3222,299.58,78,60,5.67,ID,1728840129
264,uzgen,40.7699,73.3007,289.38,45,100,1.54,KG,1728840416
265,sidi bennour,32.6524,-8.4277,297.32,39,4,7.09,MA,1728840417
266,ninghai,29.2892,121.4247,294.0,93,26,1.0,CN,1728840418
267,rabaul,-4.1967,152.1721,299.56,80,4,2.43,PG,1728840420
268,saint-dizier,48.4167,5.0833,282.93,77,63,1.91,FR,1728840421
269,zavodskoy,43.4597,132.2922,279.92,87,75,1.0,RU,1728840422
270,makow mazowiecki,52.8649,21.1005,281.27,74,68,6.1,PL,1728840423
271,arkhara,49.4212,130.0842,281.89,54,100,6.3,RU,1728840424
272,santa cruz,-17.8,-63.1667,309.18,52,87,7.72,BO,1728840061
273,kuusamo,65.9667,29.1833,275.17,100,100,3.6,FI,1728840426
274,general roca,-39.0333,-67.5833,297.23,18,0,3.46,AR,1728840427
275,alice springs,-23.7,133.8833,299.9,32,89,4.63,AU,1728840428
276,barda,40.3744,47.1267,289.44,83,100,3.03,AZ,1728840429
277,vernon,50.2581,-119.2691,284.89,62,79,2.57,CA,1728840430
278,mawu,34.4307,104.9176,281.35,89,0,2.56,CN,1728840432
279,fauske,67.2588,15.3918,277.02,85,76,3.02,NO,1728840433
280,menemen,38.6075,27.0694,295.03,64,0,5.14,TR,1728840434
281,qaqortoq,60.7167,-46.0333,279.18,50,39,5.14,GL,1728840435
282,mahina,-17.5065,-149.489,298.02,69,0,5.14,PF,1728840436
283,fale old settlement,-9.3852,-171.2468,300.74,77,79,4.75,TK,1728840437
284,greenville,35.6127,-77.3663,298.79,39,0,3.6,US,1728839921
285,callao,-12.0667,-77.15,293.31,68,40,4.12,PE,1728840439
286,yigo village,13.5361,144.8886,299.12,88,0,1.54,GU,1728840440
287,lusambo,-4.9667,23.45,300.58,52,90,0.57,CD,1728840441
288,monster,52.0258,4.175,284.28,77,100,2.57,NL,1728840442
289,monduli,-3.3,36.45,294.97,38,59,4.8,TZ,1728840443
290,vitorino freire,-4.0667,-45.1667,312.78,21,39,3.06,BR,1728840445
291,dellys,36.9172,3.9131,299.24,59,91,3.29,DZ,1728840446
292,gisborne,-38.6533,178.0042,284.45,82,100,1.09,NZ,1728840447
293,motygino,58.1831,94.7592,269.49,62,100,2.68,RU,1728840448
294,luanco,43.6152,-5.7934,295.53,81,38,1.34,ES,1728840449
295,sokcho,38.2083,128.5911,290.49,77,100,2.06,KR,1728840450
296,gemena,3.25,19.7667,295.81,92,84,0.87,CD,1728840451
